Feature,field,Weight out of 10,0vo Business Checking,Chase Business Complete Banking
Pros,pros,,"0 monthly fees, unlimited transactions, free debit card with ATM fee reimbursement, mobile banking and bill pay, integrations with popular accounting software","$15 monthly maintenance fee waived with a $1,500 minimum monthly balance, 25 free monthly transactions, additional fees for exceeding free transactions, cashier's checks, positive pay, night depository (varies by branch), mobile banking and bill pay."
Cons,cons,,"Limited physical branch access, lower check deposit limits compared to some competitors","Monthly maintenance fee if minimum balance not met, limited free transactions compared to some competitors."
Good For,good_for,,Small Business Owners Who Don't Care About Physical Branch Access,Businesses needing access to a broad range of banking services and national branch network
Monthly Fee,monthly_fee,5,0,15
Invoicing,invoicing,5,1,1
Budgeting,budgeting,5,1,1
Payments,payments,5,1,1
Hidden Fees,hidden_fees,5,0,1
Application Speed,application_speed,5,4,3
ATM Support,atm_support,5,1,1
Free Transfers,free_transfers,5,1,1
FDIC Insured,fdic_insured,5,1,1
Checks,checks,5,1,
Wires,wires,5,1,1
Rewards Program,rewards_program,5,0,1
Insured Amount,insured_amount,5,250000.00
Encrypted,encrypted,5,1,1
Virtual Card,virtual_card,5,1,0
Physical Card,physical_card,5,1,1
Integrations,integrations,5,1,1
Integration Score,integration_score,5,4,3
ATM Fees,atm_fees,5,3,
Trust Pilot Score,trust_pilot_score,5,4.5,1.3
iOS App Score,ios_app_score,5,4.8,4.8
iOS App,ios_app,5,1,1
iOS # of Ratings,ios_number_of_ratings,5,5,400000
Andoroid App,android_app,5,1,1
Android App Score,android_app_score,5,4.6,4.4
Android App Download,android_app_download,5,,50000000
Android App # of Ratings,android_number_of_ratings,5,,1800000
OSX App,osx_app,5,0,0
Web App,web_app,5,1,1
Windows App,windows_app,5,0,0
Linux App,linux_app,5,0,0
Open Source,open_source,5,0,0
Offline Support,offline_support,5,0,0
PWA,pwa,5,,0
Nerd Wallet Score,nerd_wallet_score,5,4.4,N/A
Linkedin,linkedin,5,1,1
X ,twitter,5,1,1
Instagram,instagram,5,1,1
Facebook,facebook,5,1,1
Community Size,community_size,5,13500,18500000
Support Score,support_score,5,4,3
Headquarters,headquarters,5,Miami,New York
Physical Branch Presence Score,physical_branch_presence_score,5,1,4
Deposit Limit,deposit_limit,5,5,20000
Transaction Limits,transaction_limits,5,3,
Zelle,zelle,5,0,1
Ease of Setup,ease_of_setup,5,4,3
Bank Reliability,bank_reliability,5,3,4
Dedicated Business Manager,dedicated_business_manager,5,0,0
Wire Transfers,wire_transfers,5,1,1
Accessibility Score,accessibility_score,5,3,4
Signup Benefits,signup_benefits,5,0,3
Overdraft Protection?,overdraft_protection,5,,
ATM Presence Score,atm_presence_score,5,0,5
